Source,Target,Type,Id,Label,Weight
88,2011,Directed,861,,1
89,3723,Directed,862,,1
89,3844,Directed,863,,1
89,4442,Directed,864,,2
89,4319,Directed,865,,1
89,3348,Directed,866,,1
89,3012,Directed,867,,1
89,1263,Directed,868,,1
89,541,Directed,869,,1
89,259,Directed,870,,1
89,202,Directed,871,,1
89,3383,Directed,872,,1
89,3756,Directed,873,,1
89,1011,Directed,874,,2
89,1710,Directed,875,,1
89,4521,Directed,876,,1
89,4177,Directed,877,,1
89,1671,Directed,878,,1
89,3666,Directed,879,,1
89,334,Directed,880,,1
89,4006,Directed,881,,2
89,923,Directed,882,,1
89,2460,Directed,883,,1
89,2168,Directed,884,,1
89,940,Directed,885,,2
89,2004,Directed,886,,1
89,802,Directed,887,,1
89,2778,Directed,888,,1
89,4056,Directed,889,,1
89,422,Directed,890,,1
89,2929,Directed,891,,1
89,674,Directed,892,,1
89,4307,Directed,893,,1
89,246,Directed,894,,1
89,3565,Directed,895,,1
89,2480,Directed,896,,1
89,3877,Directed,897,,2
89,2377,Directed,898,,1
89,1978,Directed,899,,1
89,392,Directed,900,,1
89,3458,Directed,901,,1
89,3071,Directed,902,,3
89,1173,Directed,903,,1
89,951,Directed,904,,1
89,379,Directed,905,,1
89,2640,Directed,906,,1
89,1641,Directed,907,,1
89,427,Directed,908,,1
89,3738,Directed,909,,1
89,3911,Directed,910,,1
89,3028,Directed,911,,1
89,176,Directed,912,,1
89,4515,Directed,913,,1
89,4129,Directed,914,,1
89,1051,Directed,915,,1
89,4018,Directed,916,,1
89,1843,Directed,917,,1
89,1232,Directed,918,,1
89,2877,Directed,919,,1
89,89,Directed,920,,1
89,1369,Directed,921,,1
89,1524,Directed,922,,1
89,1904,Directed,923,,1
89,3864,Directed,924,,1
89,3787,Directed,925,,1
89,4104,Directed,926,,1
89,3391,Directed,927,,1
89,317,Directed,928,,1
89,4122,Directed,929,,1
89,1995,Directed,930,,1
89,3994,Directed,931,,1
89,1664,Directed,932,,1
90,2428,Directed,933,,2
90,2514,Directed,934,,2
90,3923,Directed,935,,1
90,2287,Directed,936,,1
90,4476,Directed,937,,1
90,3253,Directed,938,,1
90,3458,Directed,939,,1
91,2808,Directed,940,,1
91,2510,Directed,941,,1
91,2668,Directed,942,,1
91,115,Directed,943,,1
92,4058,Directed,944,,2
92,3242,Directed,945,,1
92,959,Directed,946,,1
92,1306,Directed,947,,1
92,2072,Directed,948,,1
92,540,Directed,949,,1
92,1273,Directed,950,,1
92,4442,Directed,951,,1
92,939,Directed,952,,1
92,1155,Directed,953,,1
92,3879,Directed,954,,1
92,384,Directed,955,,1
92,4520,Directed,956,,1
92,3348,Directed,957,,1
92,311,Directed,958,,1
92,1173,Directed,959,,1
92,2121,Directed,960,,1
92,965,Directed,961,,1
92,2977,Directed,962,,1
93,4324,Directed,963,,1
93,4455,Directed,964,,1
93,722,Directed,965,,2
93,3317,Directed,966,,1
93,3926,Directed,967,,1
93,4366,Directed,968,,1
93,3581,Directed,969,,1
93,1908,Directed,970,,2
93,1702,Directed,971,,1
93,1415,Directed,972,,4
93,4090,Directed,973,,1
93,3757,Directed,974,,1
93,3587,Directed,975,,1
93,1279,Directed,976,,1
93,2944,Directed,977,,1
93,2210,Directed,978,,2
93,965,Directed,979,,1
93,428,Directed,980,,1
93,4391,Directed,981,,1
93,2121,Directed,982,,1
93,2930,Directed,983,,2
93,1871,Directed,984,,1
93,2670,Directed,985,,1
93,1674,Directed,986,,1
93,2572,Directed,987,,2
93,974,Directed,988,,1
93,1321,Directed,989,,1
93,3738,Directed,990,,1
93,1995,Directed,991,,2
93,393,Directed,992,,1
93,1910,Directed,993,,1
93,3704,Directed,994,,1
93,4547,Directed,995,,1
93,1885,Directed,996,,1
93,3565,Directed,997,,1
93,1694,Directed,998,,1
93,178,Directed,999,,1
93,2143,Directed,1000,,1
93,1451,Directed,1001,,1
93,1216,Directed,1002,,1
94,1254,Directed,1003,,1
94,2892,Directed,1004,,1
95,3866,Directed,1005,,1
95,918,Directed,1006,,1
95,4222,Directed,1007,,2
